total 90225MB
-rw-rw-r-- 1 rweiner gglab 18560MB Aug  2 11:45 chr21_lossless.h5
-rw-rw-r-- 1 rweiner gglab 15609MB Aug  3 15:15 chr21_p0_001.h5
-rw-rw-r-- 1 rweiner gglab  8837MB Aug  3 14:25 chr21_d5.h5
-rw-rw-r-- 1 rweiner gglab  8065MB Aug  3 12:15 chr21_p0_001d5.h5
-rw-rw-r-- 1 rweiner gglab  6442MB Aug  3 14:29 chr21_d4.h5
-rw-rw-r-- 1 rweiner gglab  5996MB Aug  3 11:57 chr21_p0_001d4.h5
-rw-rw-r-- 1 rweiner gglab  3637MB Aug  3 14:45 chr21_p0_01.h5
-rw-rw-r-- 1 rweiner gglab  3572MB Aug  3 14:25 chr21_d3.h5
-rw-rw-r-- 1 rweiner gglab  3572MB Aug  2 16:02 chr21_p0_001d3.h5
-rw-rw-r-- 1 rweiner gglab  2328MB Aug  2 18:18 chr21_p0_01d5.h5
-rw-rw-r-- 1 rweiner gglab  1855MB Aug  2 18:09 chr21_p0_01d4.h5
-rw-rw-r-- 1 rweiner gglab  1295MB Aug  2 16:32 chr21_p0_01d3.h5
-rw-rw-r-- 1 rweiner gglab  1076MB Aug  3 14:28 chr21_d2.h5
-rw-rw-r-- 1 rweiner gglab  1076MB Aug  2 17:24 chr21_p0_001d2.h5
-rw-rw-r-- 1 rweiner gglab  1076MB Aug  2 17:21 chr21_p0_01d2.h5
-rw-rw-r-- 1 rweiner gglab   772MB Aug  2 16:24 chr21_p0_02d3.h5
-rw-rw-r-- 1 rweiner gglab   647MB Aug  3 14:21 chr21_p0_06.h5
-rw-rw-r-- 1 rweiner gglab   530MB Aug  2 17:14 chr21_p0_02d2.h5
-rw-rw-r-- 1 rweiner gglab   482MB Aug  3 12:59 chr21_p0_06d5.h5
-rw-rw-r-- 1 rweiner gglab   438MB Aug  2 15:21 chr21_p0_04d3.h5
-rw-rw-r-- 1 rweiner gglab   398MB Aug  3 13:00 chr21_p0_06d4.h5
-rw-rw-r-- 1 rweiner gglab   381MB Aug  3 14:19 chr21_p0_1.h5
-rw-rw-r-- 1 rweiner gglab   304MB Aug  2 15:14 chr21_p0_06d3.h5
-rw-rw-r-- 1 rweiner gglab   289MB Aug  3 12:53 chr21_p0_1d5.h5
-rw-rw-r-- 1 rweiner gglab   277MB Aug  2 15:11 chr21_p0_04d2.h5
-rw-rw-r-- 1 rweiner gglab   242MB Aug  3 12:48 chr21_p0_1d4.h5
-rw-rw-r-- 1 rweiner gglab   234MB Aug  2 13:55 chr21_p0_08d3.h5
-rw-rw-r-- 1 rweiner gglab   190MB Aug  2 13:56 chr21_p0_1d3.h5
-rw-rw-r-- 1 rweiner gglab   187MB Aug  2 15:09 chr21_p0_06d2.h5
-rw-rw-r-- 1 rweiner gglab   157MB Aug  3 14:14 chr21_p0_25.h5
-rw-rw-r-- 1 rweiner gglab   141MB Aug  2 13:45 chr21_p0_08d2.h5
-rw-rw-r-- 1 rweiner gglab   132MB Aug  3 13:59 chr21_d1.h5
-rw-rw-r-- 1 rweiner gglab   132MB Aug  2 15:38 chr21_p0_04d1.h5
-rw-rw-r-- 1 rweiner gglab   132MB Aug  2 15:44 chr21_p0_06d1.h5
-rw-rw-r-- 1 rweiner gglab   132MB Aug  2 14:26 chr21_p0_08d1.h5
-rw-rw-r-- 1 rweiner gglab   132MB Aug  2 13:24 chr21_p0_1d1.h5
-rw-rw-r-- 1 rweiner gglab   132MB Aug  2 17:15 chr21_p0_15d3.h5
-rw-rw-r-- 1 rweiner gglab   117MB Aug  2 12:35 chr21_p0_25d5.h5
-rw-rw-r-- 1 rweiner gglab   114MB Aug  2 13:48 chr21_p0_1d2.h5
-rw-rw-r-- 1 rweiner gglab   103MB Aug  2 12:42 chr21_p0_25d4.h5
-rw-rw-r-- 1 rweiner gglab   102MB Aug  2 17:13 chr21_p0_2d3.h5
-rw-rw-r-- 1 rweiner gglab    87MB Aug  3 14:11 chr21_p0_5.h5
-rw-rw-r-- 1 rweiner gglab    84MB Aug  2 12:36 chr21_p0_25d3.h5
-rw-rw-r-- 1 rweiner gglab    52MB Aug  2 11:38 chr21_p0_25d2.h5
-rw-rw-r-- 1 rweiner gglab    48MB Aug  2 13:00 chr21_p0_25d1.h5
-rw-rw-r-- 1 rweiner gglab    47MB Aug  2 11:43 chr21_p0_5d3.h5
-rw-rw-r-- 1 rweiner gglab    36MB Aug  2 12:49 chr21_p0_5d1.h5
